ID,Ola,Módulo,Funcionalidad,Estado matriz,Qué falta según matriz,Horas base,Responsable propuesto en plan,Responsable nominal,Inicio objetivo,Fin objetivo,Dependencias,Criterio de aceptación,Backend localizado,Frontend localizado,Pruebas localizadas,Estado de evidencia técnica,Evidencia requerida para cierre,Resultado QA/UAT
F1-ADM-01,Ola 1A · Fundaciones,Administración y usuarios,"Administrar empresas, sucursales, departamentos y puestos",Ya existe y funciona,--,0,Dev 1 y Dev 2,Geovany y Uzziel,2026-09-28,2026-09-28,Base compartida del ERP,Se crean y consultan estructuras organizacionales sin mezclar datos entre empresas,backend/src/Administracion; backend/src/Identidad; backend/src/Catalogos; backend/src/DatosMaestros; backend/src/Compartido,frontend/src/features/catalogos; frontend/src/routes,backend/tests/Administracion.UnitTests; backend/tests/Identidad.UnitTests; backend/tests/Catalogos.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ADM-02,Ola 1A · Fundaciones,Administración y usuarios,"Administrar usuarios, roles y permisos por empresa y acción",Existe a medias,"Completar matriz final de permisos, mapeo con Microsoft Entra y validación de segregación",12,Dev 1 y Dev 2,Geovany y Uzziel,2026-09-28,2026-09-29,Microsoft Entra; todos los módulos,"Un usuario sólo ve empresas, pantallas y acciones autorizadas",backend/src/Administracion; backend/src/Identidad; backend/src/Catalogos; backend/src/DatosMaestros; backend/src/Compartido,frontend/src/features/catalogos; frontend/src/routes,backend/tests/Administracion.UnitTests; backend/tests/Identidad.UnitTests; backend/tests/Catalogos.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ADM-03,Ola 1A · Fundaciones,Administración y usuarios,"Consultar bitácora de auditoría de altas, cambios, autorizaciones y accesos",Ya existe y funciona,--,0,Dev 1 y Dev 2,Geovany y Uzziel,2026-09-28,2026-09-28,Todos los módulos,"Cada operación crítica deja usuario, fecha, entidad y cambio realizado",backend/src/Administracion; backend/src/Identidad; backend/src/Catalogos; backend/src/DatosMaestros; backend/src/Compartido,frontend/src/features/catalogos; frontend/src/routes,backend/tests/Administracion.UnitTests; backend/tests/Identidad.UnitTests; backend/tests/Catalogos.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ADM-04,Ola 1A · Fundaciones,Administración y usuarios,"Mantener catálogos compartidos de monedas, unidades, impuestos y formas de pago",Existe a medias,"Cerrar catálogo definitivo, reglas de vigencia y responsables de mantenimiento",4,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-01,2026-10-01,SAT; Facturación; Cuentas por pagar; Tesorería,Los catálogos vigentes se reutilizan sin duplicados en los módulos consumidores,backend/src/Administracion; backend/src/Identidad; backend/src/Catalogos; backend/src/DatosMaestros; backend/src/Compartido,frontend/src/features/catalogos; frontend/src/routes,backend/tests/Administracion.UnitTests; backend/tests/Identidad.UnitTests; backend/tests/Catalogos.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ADM-05,Ola 1A · Fundaciones,Administración y usuarios,Mantener maestro único de proveedores y sus datos fiscales y bancarios,Existe a medias,"Completar validación de duplicados, vigencia fiscal y control de cambios bancarios",4,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-01,2026-10-02,Compras; Cuentas por pagar; Tesorería; SAT,Un proveedor conserva una sola identidad y los cambios sensibles quedan auditados,backend/src/Administracion; backend/src/Identidad; backend/src/Catalogos; backend/src/DatosMaestros; backend/src/Compartido,frontend/src/features/catalogos; frontend/src/routes,backend/tests/Administracion.UnitTests; backend/tests/Identidad.UnitTests; backend/tests/Catalogos.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ADM-06,Ola 1A · Fundaciones,Administración y usuarios,Sincronizar clientes y condiciones comerciales desde A+W,Existe a medias,"Definir campos maestros, prioridad de origen, conflictos y reconciliación",8,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-01,2026-10-02,A+W; Crédito y cobranza; Facturación,Una actualización acordada en A+W llega al ERP y los conflictos quedan identificados,backend/src/Administracion; backend/src/Identidad; backend/src/Catalogos; backend/src/DatosMaestros; backend/src/Compartido,frontend/src/features/catalogos; frontend/src/routes,backend/tests/Administracion.UnitTests; backend/tests/Identidad.UnitTests; backend/tests/Catalogos.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ADM-07,Ola 1A · Fundaciones,Administración y usuarios,"Sincronizar productos, claves fiscales y unidades con A+W",Existe a medias,"Cerrar mapeo de claves, variantes, unidades SAT y tratamiento de bajas",8,Dev 2,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-02,2026-10-05,A+W; Facturación; Producto terminado; Materia prima,Cada producto facturable tiene correspondencia única A+W–ERP–SAT,backend/src/Administracion; backend/src/Identidad; backend/src/Catalogos; backend/src/DatosMaestros; backend/src/Compartido,frontend/src/features/catalogos; frontend/src/routes,backend/tests/Administracion.UnitTests; backend/tests/Identidad.UnitTests; backend/tests/Catalogos.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ADM-08,Ola 1A · Fundaciones,Administración y usuarios,Administrar centros de costo y jerarquía organizacional,Existe a medias,"Definir jerarquía final, vigencias y reglas de uso obligatorio",6,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-02,2026-10-05,Contabilidad; Compras; Cuentas por pagar,Toda operación que lo requiera acepta sólo centros vigentes de la empresa correcta,backend/src/Administracion; backend/src/Identidad; backend/src/Catalogos; backend/src/DatosMaestros; backend/src/Compartido,frontend/src/features/catalogos; frontend/src/routes,backend/tests/Administracion.UnitTests; backend/tests/Identidad.UnitTests; backend/tests/Catalogos.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ADM-09,Ola 1A · Fundaciones,Administración y usuarios,"Configurar PAC, certificados, series y parámetros fiscales por empresa",Existe a medias,"Instalar configuración productiva, certificados vigentes y prueba controlada por empresa",6,Dev 1,Por confirmar: mapear Dev 1/Dev 2 a Geovany/Uzziel,2026-10-05,2026-10-05,PAC; SAT; Facturación y fiscal,"Cada empresa timbra con su certificado, serie y ambiente autorizados",backend/src/Administracion; backend/src/Identidad; backend/src/Catalogos; backend/src/DatosMaestros; backend/src/Compartido,frontend/src/features/catalogos; frontend/src/routes,backend/tests/Administracion.UnitTests; backend/tests/Identidad.UnitTests; backend/tests/Catalogos.UnitTests; backend/tests/Api.IntegrationTests,Base de código candidata localizada; falta confirmar brecha e implementar/probar,Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
F1-ADM-10,Ola 1A · Fundaciones,Administración y usuarios,"Mostrar inicio, navegación y accesos rápidos según permisos",Ya existe y funciona,--,0,Dev 1 y Dev 2,Geovany y Uzziel,2026-09-28,2026-09-28,Todos los módulos,El menú oculta opciones no autorizadas y abre las funciones permitidas,backend/src/Administracion; backend/src/Identidad; backend/src/Catalogos; backend/src/DatosMaestros; backend/src/Compartido,frontend/src/features/catalogos; frontend/src/routes,backend/tests/Administracion.UnitTests; backend/tests/Identidad.UnitTests; backend/tests/Catalogos.UnitTests; backend/tests/Api.IntegrationTests,"Código candidato localizado; falta ejecutar el caso, documentar evidencia, regresión y UAT",Caso reproducible; dato usado; captura o log; pruebas automáticas aplicables; resultado de regresión; aprobación UAT del área,Pendiente
